x,y,frame
41915.2416811592,33784.38897733,9
42452.4389467842,28199.8211062362,9
42958.0102358467,34144.8552859237,9
42886.2084780342,47736.9036257675,9
43364.0160952217,37582.68975858,9
43944.4360170967,48121.7571413925,9
45085.0317202217,40479.0203249862,9
46138.0297670967,52038.45147733,9
46317.2680483467,36277.0183718612,9
46458.7914858467,27776.8572390487,9
46477.6000795967,34290.3215945175,9
46516.2963686592,41628.012024205,9
47708.9477358467,30644.5501101425,9
48457.6830874092,29428.285461705,9
48768.7426577217,40000.83428983,9
48788.1274233467,51034.62335233,9
49378.3178530342,38721.3176882675,9
49549.6264467842,43017.72882108,9
49760.1293764717,50880.24835233,9
50109.7338686592,47063.00225858,9
50286.5649233467,40854.72100858,9
50711.5502749092,42180.531555455,9
52275.4516420967,43827.82647733,9
26688.794368216,34928.8618251549,10
27350.4569658723,33899.6479579674,10
28027.5614580598,16870.7661220299,10
29578.911555716,34325.4585048424,10
29758.550227591,31577.9267665612,10
29948.9921221223,45621.9599696862,10
30023.6430010285,44516.8427821862,10
30352.6200518098,48901.3642665612,10
30662.6981768098,33058.7373134362,10
31077.3539385285,37473.0048915612,10
32159.8173174348,48296.7890712487,10
32415.347102591,46605.6660243737,10
33086.7948564973,37433.8471767174,10
33691.977961966,20306.0761806237,10
34650.5839189973,53515.1289149987,10
37153.7772783723,38260.9077235924,10
37784.7245439973,45357.0283290612,10
38343.6991533723,29223.6103603112,10
38638.0302080598,50425.6025478112,10
38850.9940752473,34265.4072353112,10
39135.8378252473,53746.0127040612,10
39335.1639971223,44649.4941493737,10
39534.839290091,29357.0087978112,10
40521.2382158723,41115.2558681237,10
40747.0023760285,45183.4980556237,10
41194.2167314973,46679.1865321862,10
41386.2919268098,36363.3979579674,10
41240.2811846223,42418.3759853112,10
41363.1278643098,47778.6054774987,10
42487.8886064973,28256.2714931237,10
43151.3554033723,40852.7680751549,10
43254.2264971223,37555.1240321862,10
43859.5292314973,31597.3310634362,10
44087.2440752473,48005.6074306237,10
44267.3954424348,41363.8349696862,10
44580.3202471223,34368.8862392174,10
46100.1151689973,35311.8989345299,10
46332.0585283723,36248.7128993737,10
46440.5204424348,34054.4135829674,10
46629.4462236848,48336.3447353112,10
47074.5243486848,32168.0390712487,10
47677.0487627473,30764.2451259362,10
47635.0663408723,43911.5400478112,10
48437.8300127473,29225.9736415612,10
48662.9130205598,38108.0830165612,10
48872.7225908723,40297.8852626549,10
48761.1552080598,51016.1543056237,10
49130.6669268098,33339.2426845299,10
49424.7538408723,38651.3715907799,10
49473.2059893098,43051.8330165612,10
49776.0722002473,50948.4882899987,10
49916.3554033723,47043.4882899987,10
50759.9296221223,42259.3818446862,10
51590.0223955598,47588.8984462487,10
52198.2792314973,43882.0722743737,10
53248.3964189973,40231.6084071862,10
23278.3217375791,17909.0972066776,11
26654.6620696103,34932.8288961308,11
26619.0761321103,47233.1951070683,11
27430.1283782041,33509.2058492558,11
27986.1830657041,16848.1230855839,11
29677.7919524228,31078.7761617558,11
29987.6698821103,44563.3220601933,11
30703.0898039853,33144.2009664433,11
32003.4584563291,53200.4656148808,11
32124.0736907041,35137.8923726933,11
32697.8774016416,54338.1804586308,11
33445.1942961728,36313.7248922245,11
33637.2304289853,20454.6843648808,11
33784.9257414853,48866.6277242558,11
34062.6747649228,28174.657509412,11
34674.5229094541,53486.5837789433,11
36156.8959563291,45375.3191305058,11
36549.1371672666,29758.2537008183,11
37089.0590422666,52818.1413961308,11
37766.1879485166,45329.6794820683,11
38194.1591399228,29118.1658101933,11
38440.8876555478,43931.5740133183,11
38881.0146086728,34333.524696912,11
38888.5927336728,39946.5935445683,11
39366.2294524228,43429.1179586308,11
40119.9159758603,36560.5925680058,11
40454.0858977353,41109.2156148808,11
40730.4384367978,45403.0632711308,11
41154.1249602353,46719.7380758183,11
41976.6493742978,47424.2204976933,11
42165.8681242978,35483.9617086308,11
42624.6132414853,51520.0115133183,11
42854.3349211728,47746.8132711308,11
43070.3358977353,40942.4089742558,11
43234.1151946103,37577.2698140995,11
44304.5937102353,47927.2917867558,11
44458.6464446103,50205.7097555058,11
46454.7499602353,27149.9260640995,11
46480.6581633603,41875.6902242558,11
47014.8573821103,32010.5803609745,11
47365.1796477353,49940.9099508183,11
47598.2851164853,43902.6335836308,11
47793.9442961728,30714.5525289433,11
48262.1913664853,29085.9441305058,11
48903.7196867978,40099.4963765995,11
49987.5331633603,47062.5847555058,11
51523.6024992978,47619.5427633183,11
51703.7392180478,44713.6589742558,11
52558.9149992978,48641.3445211308,11
23260.2133358321,17888.7395303903,12
26651.0019100508,34889.8857706247,12
26675.0448788008,47272.9472940622,12
27966.2240780196,16827.2112100778,12
28144.1903866133,42443.1523721872,12
29225.4892147383,33894.1216104684,12
30663.4066952071,33247.1098917184,12
31635.4184139571,32354.4804971872,12
31767.3739803633,43307.0439737497,12
32017.0932186446,53227.4638956247,12
32149.2294491133,29149.2412393747,12
32432.4154842696,31842.8178995309,12
33798.1649959883,20360.6572549997,12
34253.8583553633,41423.3769815622,12
34556.4389217696,51953.5234659372,12
34714.5932186446,42567.4101846872,12
35926.3144100508,45322.7129190622,12
36769.0634334883,42138.1670206247,12
37783.3334530196,45350.0762003122,12
38178.5165584883,36157.6128214059,12
38967.7060116133,34282.6201456247,12
39109.0439022383,53756.8828409372,12
39163.0160702071,39982.6982706247,12
