x,y,width,intensity,time,error,logL
16269.052734375,31492.080078125,0.684260785579681,1984.31579589844,1,0.0347288992426237,-41.8894958496094
16833.9294433594,32355.9790039062,0.715716481208801,1711.48547363281,1,0.0400536726493308,-42.150505065918
17309.8083496094,30552.5927734375,0.728181719779968,748.9052734375,1,0.0768079483375323,-41.1043243408203
18491.5942382812,37316.3842773438,0.642518520355225,1648.15612792969,1,0.0368477703686414,-46.3139953613281
16268.193359375,31496.8725585938,0.716295123100281,2005.29138183594,2,0.0357951778444212,-68.8252944946289
16831.9982910156,32354.3530273438,0.712871193885803,639.672424316406,2,0.0825580994536714,-39.1532516479492
18480.0854492188,37319.9536132812,0.726729929447174,1498.19226074219,2,0.0446777211285149,-22.628044128418
16264.3518066406,31484.8828125,0.69723117351532,1610.06420898438,3,0.039852968145929,-67.6913375854492
16835.4760742188,32366.3989257812,0.669651865959167,626.262023925781,3,0.0761913557951194,-29.9069366455078
18494.7436523438,37301.1791992188,0.725577533245087,1778.904296875,3,0.0395733501277214,-31.4817962646484
16267.3559570312,31465.771484375,0.749100804328918,1773.12915039062,4,0.0405393520954108,-41.8619270324707
16854.6618652344,32337.9711914062,0.732351124286652,571.146240234375,4,0.093138735583552,-35.8587112426758
18491.1279296875,37287.3266601562,0.718535244464874,1859.95153808594,4,0.0377699165011851,-34.6278991699219
19805.9448242188,34565.0952148438,0.708139479160309,837.115051269531,4,0.0647409109628718,-31.0569915771484
16263.4143066406,31483.1640625,0.825772643089294,1240.77746582031,5,0.0594451352346298,-73.6515350341797
16797.1752929688,32339.775390625,0.940671920776367,649.608093261719,5,0.120253731032353,-38.4352340698242
19791.6931152344,34584.1455078125,0.743493139743805,1952.86364746094,5,0.0382621030898334,-34.4968948364258
16831.2145996094,32351.9921875,0.879086196422577,628.456726074219,6,0.109189582314972,-42.7036781311035
19783.2946777344,34579.1845703125,0.749262571334839,1156.78515625,6,0.055277501471811,-33.7768936157227
16835.5053710938,32348.9892578125,0.708471834659576,511.618103027344,7,0.0971007760344041,-97.003288269043
16844.3054199219,32346.7602539062,0.843100905418396,541.572143554688,8,0.118445465334877,-34.3144302368164
16106.5393066406,31705.390625,0.683248460292816,775.531311035156,9,0.0677757201891527,-43.8286514282227
16825.732421875,32350.4028320312,0.786614060401917,644.583923339844,9,0.0945375039797476,-30.8307952880859
15056.650390625,33928.251953125,0.835871934890747,1126.52233886719,10,0.0664949493079647,-18.6261291503906
16117.2485351562,31701.044921875,0.706346392631531,1791.20666503906,10,0.0383934486935582,-42.7291259765625
16836.7443847656,32391.3916015625,0.645821332931519,560.616088867188,10,0.0837588588511335,-58.8576354980469
