x,y,width,intensity,time,error,logL
15172.8015136719,36605.4077148438,0.737835824489594,2530.23193359375,1,0.0310142725728545,-40.9318389892578
15182.7905273438,36602.9223632812,0.749383151531219,2744.68896484375,2,0.0294563349001014,-53.5812454223633
15170.80078125,36605.0366210938,0.694770991802216,2555.04125976562,3,0.0283586820705435,-38.4017791748047
15173.8403320312,36603.4545898438,0.749015271663666,2712.21142578125,4,0.0296647542233609,-60.302921295166
19605.6958007812,36650.146484375,0.824496805667877,598.354553222656,4,0.100200462929011,-97.3769683837891
15166.0266113281,36601.5869140625,0.714569568634033,1863.77868652344,5,0.0362554642952114,-36.8779220581055
15169.833984375,36605.3344726562,0.689549207687378,1675.52807617188,6,0.0367140604154151,-33.6942329406738
15179.9633789062,36615.1147460938,0.699880838394165,1841.12780761719,7,0.0358147865708879,-43.7948379516602
15174.0759277344,36610.0830078125,0.774360120296478,1758.11706542969,8,0.040870150929281,-29.2271347045898
15549.3688964844,33071.3916015625,0.713500678539276,702.895874023438,13,0.0697280010875236,-38.1496467590332
15540.0012207031,33089.5385742188,0.761380553245544,590.045532226562,14,0.0875065751370503,-34.5812225341797
19704.3078613281,35642.8393554688,0.718806743621826,1008.87768554688,15,0.0566963409996549,-30.5422554016113
16411.6552734375,31913.9575195312,0.777112901210785,1031.58386230469,16,0.0619507023410173,-34.5450782775879
19697.7099609375,35633.2592773438,0.788309812545776,1432.84594726562,16,0.0485902676095422,-32.9327697753906
16406.7517089844,31909.7534179688,0.77184933423996,1282.64184570312,17,0.0526414850776523,-25.23388671875
19702.6538085938,35636.9555664062,0.776128888130188,1767.14965820312,17,0.0411458992540912,-39.1367149353027
16421.9287109375,31929.375,0.702571034431458,1339.62561035156,18,0.0455248345831161,-27.395133972168
15769.3518066406,37552.2924804688,0.672909617424011,899.208679199219,19,0.0552191888779403,-39.617115020752
16409.462890625,31899.1162109375,0.671960055828094,1414.03161621094,19,0.0421432522640387,-31.2957992553711
15771.9067382812,37558.7524414062,0.714191079139709,1734.80908203125,20,0.0375694361011079,-45.1929168701172
16408.3142089844,31911.3134765625,0.743795394897461,1282.90356445312,20,0.0498712726624554,-26.6304969787598
15788.5241699219,30009.9560546875,0.773314952850342,1514.50610351562,21,0.045507244827689,-50.7208824157715
15768.6413574219,37563.6669921875,0.786085188388824,1635.08630371094,21,0.0434571774212026,-29.8757171630859
16413.7854003906,31892.2729492188,0.658093392848969,1234.79443359375,21,0.0448432279710787,-22.0156288146973
15781.7810058594,30012.392578125,0.696878492832184,1394.3447265625,22,0.0435194094419916,-57.0461006164551
15781.845703125,37561.6528320312,0.747843027114868,1851.77062988281,22,0.0378794503308875,-27.726390838623
15786.0852050781,30026.083984375,0.720117688179016,1505.53625488281,23,0.0423726436663461,-28.5662498474121
15780.2514648438,37561.3598632812,0.724972903728485,1385.42407226562,23,0.0449179756908915,-34.0417022705078
15767.2412109375,30017.4633789062,0.698665797710419,1089.140625,24,0.0505852607865453,-25.1103630065918
15768.7915039062,37563.6962890625,0.73359876871109,1637.56225585938,24,0.0409472854078712,-41.0863800048828
15776.3513183594,30018.9013671875,0.726148843765259,1506.08325195312,25,0.0425894607794201,-39.8372535705566
15777.9406738281,37569.4946289062,0.776022970676422,1198.05798339844,25,0.0524485302491932,-40.7097511291504
15779.4860839844,30014.1528320312,0.721653819084167,1363.17736816406,26,0.0452861885553328,-33.2742805480957
15774.4165039062,37546.2280273438,0.780559420585632,584.289794921875,26,0.0931804991977104,-38.0180511474609
15778.0261230469,30022.55859375,0.727734565734863,1232.13647460938,27,0.0486120095283591,-36.487133026123
15785.1599121094,30021.5380859375,0.673699855804443,1109.11328125,28,0.048144572149096,-37.473991394043
15791.0791015625,30021.015625,0.755650281906128,1461.158203125,29,0.0447459872693107,-33.1056289672852
17884.3725585938,37444.2529296875,0.735312819480896,1436.83947753906,29,0.0446816902316684,-30.0875778198242
15781.7919921875,30022.958984375,0.713674604892731,1427.416015625,30,0.0431957073277874,-44.4990577697754
17871.81640625,37443.4594726562,0.729508459568024,2079.96313476562,30,0.0341067259991392,-35.8900566101074
15778.6560058594,30018.2202148438,0.752993166446686,1524.38110351562,31,0.0440870128358017,-36.7673263549805
17870.2075195312,37443.740234375,0.752875447273254,1960.84582519531,31,0.0369890215026874,-33.6150054931641
