driftx,drifty
-6.58482458017136,-2.2460898235625
-6.72505918190291,-2.29392397738477
-6.8662549993172,-2.34208600277552
-7.00831582731041,-2.39054308408384
-7.12291754157246,-2.46979441646099
-7.20986989615003,-2.58010103955256
-7.29670660535822,-2.69026095643663
-7.38312550729163,-2.79989084846044
-7.47043059730266,-2.91064494712295
-7.5563658525622,-3.01966129128341
-7.64343393779335,-3.13011472877289
-7.73021128920133,-3.24019934512568
-7.81680630299888,-3.35005265036371
-7.9043600817246,-3.46112223228657
-7.99092336980135,-3.57093529068892
-8.07760341194202,-3.68089646177419
-8.16446809436641,-3.79109186511553
-8.25066133431797,-3.90043548529198
-8.33757420231293,-4.01069201621978
-8.42483502982638,-4.12138996405508
-8.51174329247478,-4.23164065270027
-8.59789414618107,-4.34093050223872
-8.68463346083776,-4.45096686566486
-8.77131162672613,-4.56092565656093
-8.85801588957839,-4.67091755372506
-8.94544464167319,-4.7818285284944
-9.03277079688056,-4.89260935019027
-9.1188572610191,-5.00181751596275
-9.20514559284888,-5.11128176845583
-9.2921884339581,-5.22170318158143
-9.37935817795054,-5.33228558204977
-9.46603335889205,-5.44224058628119
-9.55262282921688,-5.55208685914201
-9.63945885615151,-5.66224591050273
-9.72581933841086,-5.77180169208987
-9.81256632864516,-5.88184779265367
-9.89998109413187,-5.99274102419437
-9.98624998116503,-6.10218060927204
-10.0727331020978,-6.21189196868098
-10.1601994645229,-6.32285065542488
-10.2467193429441,-6.4326086449042
-10.3338971036509,-6.54320121527188
-10.4210654830962,-6.65378188469352
-10.5069182685385,-6.76269360871929
-10.5945393364946,-6.87384855288236
-10.681336473836,-6.98395826941224
-10.7668470990851,-7.09243593347897
-10.8544636469789,-7.20358514354986
-10.9411650954527,-7.31357347043017
-11.0278447111724,-7.42353410056336
-11.1148857613135,-7.53395324169017
-11.2016919387796,-7.64407442640441
-11.288357909028,-7.75401774607064
-11.3752833990839,-7.86429028918037
-11.4799992407172,-7.93018364613886
-11.6022348194221,-7.95267901589804
-11.7268705148428,-7.97561608613068
-11.8486084036031,-7.99801986455902
-11.9728349840949,-8.02088164417906
-12.0958870986,-8.04352728340106
-12.2183662585981,-8.06606748013544
-12.3417136231555,-8.08876745508495
-12.4643990951778,-8.11134562002236
-12.5883376858644,-8.13415440003935
-12.7104347148522,-8.15662427209033
-12.8339023575047,-8.17934638216818
-12.9572232221599,-8.20204148026345
-13.0811697991185,-8.22485173001732
-13.2038891522943,-8.24743613020216
-13.3258754625125,-8.26988562635533
-13.4490345446595,-8.29255095114418
-13.5729024689402,-8.31534672621654
-13.6958720586357,-8.33797717815732
-13.8183135863525,-8.36051044931331
-13.9417443227485,-8.38322576742522
-14.0642943911607,-8.4057790136417
-14.1890971932708,-8.42874683700536
-14.3107307764798,-8.45113141977914
-14.4340734218766,-8.47383052624776
-14.5581152290775,-8.49665830150063
-14.6802740911704,-8.51913955287815
-14.8032143978689,-8.54176461578366
-14.9262626402423,-8.56440954240595
-15.0493137867145,-8.58705500347802
-15.17261674276,-8.60974680579966
-15.2970089778917,-8.63263907132584
-15.4184894908892,-8.65499548414253
-15.543245464405,-8.6779546895035
-15.6661814149552,-8.70057895073435
-15.789033146638,-8.7231877129216
-15.9122425664989,-8.74586230150662
-16.0353945094029,-8.76852631243976
-16.1579912854053,-8.79108815439018
-16.2820512432241,-8.81391926995417
-16.4040300511869,-8.8363673854454
-16.5278947083564,-8.85916255926177
-16.6505613037359,-8.88173725027562
-16.774103242918,-8.90447303336031
-16.897332991471,-8.92715136309377
-17.0204197131544,-8.94980337117563
-17.1434265721188,-8.97244068188857
-17.2665753689157,-8.99510411383446
-17.389108375747,-9.01765422015848
-17.5133273329792,-9.04051459684786
-17.6370047590882,-9.09137695826349
-17.7639936033767,-9.17139900081516
-17.8915557911978,-9.25178233589461
-18.0184539102456,-9.33174720791987
-18.1459833570018,-9.41210991121156
-18.2726436659488,-9.49192492716001
-18.3998976878694,-9.57211407144315
-18.5287482740819,-9.65330929099546
-18.6540367074187,-9.73225981928698
-18.7821058818813,-9.81296263208771
-18.9087521946479,-9.89276882834063
-19.0357624081047,-9.97280433667745
-19.1626552785849,-10.0527659013169
-19.291010749916,-10.1336491241397
-19.4192496280658,-10.2144588757488
-19.5450779140749,-10.2937495922966
-19.6718155769117,-10.3736133528123
-19.7985005041404,-10.4534438819753
-19.9260495705423,-10.5338189485901
-20.0537237278064,-10.6142728412339
-20.1801276067341,-10.6939262677606
-20.3087276363244,-10.7749635990134
-20.4348267234309,-10.8544249609203
-20.5618795502584,-10.9344873220802
-20.6894694805084,-11.0148881390561
-20.8156461714366,-11.094398403025
-20.943449043574,-11.1749334053687
-21.0697447020354,-11.2545186367496
-21.1984984396782,-11.3356528271587
-21.3247056222851,-11.4151823054642
-21.4523529118815,-11.4956192674424
-21.579451601193,-11.5757105288546
-21.7060465529762,-11.6554843599748
-21.8331997274185,-11.7356099552017
-21.9612459081561,-11.8162982785026
-22.0884994302131,-11.8964871077966
-22.2155088938746,-11.9765221436497
-22.3423069152394,-12.0564239391025
-22.4688759990821,-12.1361814695354
-22.5965712755827,-12.2166486704697
-22.7226536172591,-12.2960994802409
-22.8512462738615,-12.3771321654041
-22.9780243006829,-12.4570213612918
-23.1040041703243,-12.5364075982922
-23.2321888132751,-12.6171831735811
-23.3590659380523,-12.697134816063
-23.4856401454967,-12.7768955751345
-23.6141154591224,-12.8578543166003
-23.7411025538884,-12.93787525669
-23.8683785698068,-13.0180782604947
-23.968611421426,-13.1030460694917
-24.0434160067017,-13.1940185556024
-24.1176332091193,-13.2842767047681
-24.1928593435007,-13.3757618515669
-24.2676900281645,-13.466766078061
-24.3417556195298,-13.5568398476958
-24.415858527155,-13.6469589989462
-24.4904766044439,-13.7377046661368
-24.565723193121,-13.8292146881237
-24.6402628256197,-13.919864955847
-24.7147440277468,-14.0104441643411
-24.788860644882,-14.1005799882087
-24.8633831954779,-14.1912094820294
-24.93865859612,-14.2827545432599
-25.0125034423797,-14.3725598570109
-25.087696952526,-14.4640053283303
-25.1622508077249,-14.5546728927795
-25.2367490917549,-14.6452728751762
-25.3109752383447,-14.7355419016643
-25.3861728540127,-14.8269923658531
-25.4607410052249,-14.9176773161865
-25.5350914904727,-15.008097555288
-25.60950187235,-15.0985906367865
-25.6843677472,-15.1896376593033
-25.7585477066705,-15.2798505160117
-25.833063292542,-15.3704715397862
-25.9080502802829,-15.4616658519476
-25.9824704127743,-15.5521707915107
-26.0569149584573,-15.6427054208145
-26.1314652946377,-15.7333687056614
-26.2064368133593,-15.8245442054045
-26.2814538593843,-15.915775072502
-26.3557876292937,-16.0061749834928
-26.4298615783282,-16.0962589171829
-26.5052561124132,-16.1879488607818
-26.5797582820262,-16.2785535685727
-26.6535355338032,-16.3682766782968
-26.7290199494888,-16.4600759300702
-26.8027782865407,-16.5497760369321
-26.8777831626263,-16.6409921037384
-26.951928298475,-16.7311626102161
-27.0266445417208,-16.8220276604782
-27.1013895236186,-16.9129276608254
-27.1764185929573,-17.0041731498973
-27.2503137318581,-17.0940396262973
-27.3256064343418,-17.1856057289056
-27.3998490030185,-17.275894726871
-27.4745596744848,-17.3667530010961
-27.5490669026871,-17.4573638608153
-27.6240502247836,-17.5485537150577
-27.7379376797844,-17.6420440370022
-27.8936372807384,-17.7404241987822
-28.0483987556553,-17.8382115973776
-28.2049213358074,-17.9371117657997
-28.3614906466396,-18.0360414614127
-28.5148007216123,-18.1329117801926
-28.6720635096274,-18.2322796554608
-28.8265230676999,-18.3298762852436
-28.9807564553896,-18.4273300072816
-29.137736568605,-18.5265192719922
-29.2918723716394,-18.6239113343077
-29.4486092104323,-18.7229468839357
-29.602537932414,-18.8202081002675
-29.7583355761673,-18.9186502112522
-29.9136680511253,-19.0167984012439
-30.0686167541916,-19.1147041015916
-30.2240649868472,-19.2129254341022
