driftx,drifty
2.08573108961433,-0.102665795923979
2.06483120652406,-0.101637042436598
2.04534701474936,-0.100677973424084
2.02417915780772,-0.0996360294785104
2.00261304958308,-0.0985744824378158
1.98187133931981,-0.0975535146804635
1.96158337437076,-0.0965548815970602
1.94064921555531,-0.0955244409580493
1.91890401295714,-0.0944540783674998
1.89795813214044,-0.0934230607372391
1.77282576879183,-0.0872636791453346
1.77101865166235,-0.087174727544934
1.7691867551125,-0.0870845562288535
1.76703450665506,-0.0869786162531732
1.76493775222885,-0.0868754078563212
1.76281236050846,-0.0867707898479348
1.75220498803513,-0.0862486638926482
1.73068101966309,-0.0851891910989783
1.70923331848907,-0.0841334724002757
1.68906049623585,-0.0831405069777567
1.64483353389764,-0.0809635262958457
1.64341205577132,-0.0808935569771958
1.62634215111493,-0.0800533262510868
1.60470674954113,-0.0789883683887002
1.57138495785992,-0.0773481721612961
1.56328995152802,-0.0769497122293269
1.54266976429037,-0.0759347261913873
1.52141584708638,-0.0748885461075236
1.50073719822224,-0.0738706824170216
1.47930388988519,-0.0728156721759295
1.45876367933961,-0.0718046228251248
1.43770384286519,-0.0707679959634734
1.41712371816345,-0.0697549819209446
1.39573581403378,-0.0687022066079848
1.37494276437262,-0.067678711775032
1.35381200237165,-0.0666385937511347
1.33302221706527,-0.0656152595992895
1.31227442323173,-0.0645939923907822
1.29072582381909,-0.063533307185119
1.27014480883878,-0.06252024932047
1.22681776976113,-0.060387565498435
1.22539228538122,-0.060317398980244
1.20760170021757,-0.0594416942478006
1.18615563122093,-0.0583860558896518
1.16512739963595,-0.0573509847132689
1.14457160921529,-0.05633916847536
1.12281082674205,-0.0552680389977063
1.10242107327581,-0.0542643955852222
1.08170458757219,-0.05324466945461
1.06088913256687,-0.0522200717649645
1.00952465850524,-0.0496917618414024
1.00809205189672,-0.0496212447462495
0.997539134796296,-0.0491017992439842
0.976660915151372,-0.0480741120948618
0.955415603973617,-0.047028355624827
0.934403842542295,-0.0459940951576686
0.914265741153538,-0.045002838797839
0.893315408943959,-0.0439716020569771
0.872441343932389,-0.0429441194110824
0.851122139632828,-0.0418947257050677
0.83015964028271,-0.0408628900618959
0.809613494546628,-0.039851548563623
0.788211197579974,-0.0387980647930525
0.767501982484724,-0.037778696543089
0.74628070882852,-0.0367341232703007
0.725802521023738,-0.0357261268605394
0.703867095569833,-0.034646400943632
0.683462652507095,-0.0336420344661639
0.662994406146411,-0.032634527403412
0.641600715205992,-0.0315814672466706
0.619811740577836,-0.0305089500685425
0.599613693764963,-0.0295147430192835
0.578787555416734,-0.0284896194641951
0.558371538732508,-0.0274846832991639
0.537285439040091,-0.0264467636849654
0.516107640654348,-0.0254043303923822
0.494614238513419,-0.0243463621581738
0.474234871630571,-0.0233432300037592
0.453659346701481,-0.0223304423755184
